"","depart","arrive","distance","nbcom"
"151","IAH","LAX","2,219.2",151
"152","IAH","LGA","2,279.4",152
"153","IAH","MCO","1,374.5",153
"154","IAH","MIA","1,551.6",154
"155","IAH","MSP","1,663.9",155
"156","IAH","ORD","1,488.8",156
"157","IAH","PHL","2,131.7",157
"158","IAH","PHX","1,623.8",158
"159","IAH","SEA","3,015.6",159
"160","IAH","SFO","2,631.6",160
"161","JFK","ATL","1,222.8",161
"162","JFK","BOS","300.5",162
"163","JFK","CLT","870.9",163
"164","JFK","DEN","2,616.4",164
"165","JFK","DFW","2,238.7",165
"166","JFK","DTW","818.7",166
"167","JFK","EWR","33.5",167
"168","JFK","IAH","2,280.2",168
"169","JFK","JFK","0.0",169
"170","JFK","LAS","3,617.7",170
"171","JFK","LAX","3,982.9",171
"172","JFK","LGA","17.2",172
"173","JFK","MCO","1,519.2",173
"174","JFK","MIA","1,753.6",174
"175","JFK","MSP","1,655.2",175
"176","JFK","ORD","1,190.8",176
"177","JFK","PHL","150.8",177
"178","JFK","PHX","3,465.4",178
"179","JFK","SEA","3,896.8",179
"180","JFK","SFO","4,161.9",180
"181","LAS","ATL","2,811.0",181
"182","LAS","BOS","3,831.6",182
"183","LAS","CLT","3,083.5",183
"184","LAS","DEN","1,011.1",184
"185","LAS","DFW","1,698.2",185
"186","LAS","DTW","2,814.3",186
"187","LAS","EWR","3,584.4",187
"188","LAS","IAH","1,965.9",188
"189","LAS","JFK","3,617.7",189
"190","LAS","LAS","0.0",190
"191","LAS","LAX","380.2",191
"192","LAS","LGA","3,608.4",192
"193","LAS","MCO","3,281.9",193
"194","LAS","MIA","3,499.3",194
"195","LAS","MSP","2,091.3",195
"196","LAS","ORD","2,437.0",196
"197","LAS","PHL","3,502.6",197
"198","LAS","PHX","410.8",198
"199","LAS","SEA","1,394.5",199
"200","LAS","SFO","666.2",200
"201","LAX","ATL","3,132.5",201
"202","LAX","BOS","4,202.2",202
"203","LAX","CLT","3,420.0",203
"204","LAX","DEN","1,387.0",204
"205","LAX","DFW","1,987.4",205
"206","LAX","DTW","3,184.5",206
"207","LAX","EWR","3,949.7",207
"208","LAX","IAH","2,219.2",208
"209","LAX","JFK","3,982.9",209
"210","LAX","LAS","380.2",210
"211","LAX","LAX","0.0",211
"212","LAX","LGA","3,974.0",212
"213","LAX","MCO","3,569.0",213
"214","LAX","MIA","3,768.9",214
"215","LAX","MSP","2,471.0",215
"216","LAX","ORD","2,807.6",216
"217","LAX","PHL","3,864.8",217
"218","LAX","PHX","595.7",218
"219","LAX","SEA","1,535.2",219
"220","LAX","SFO","543.0",220
"221","LGA","ATL","1,225.5",221
"222","LGA","BOS","297.1",222
"223","LGA","CLT","875.2",223
"224","LGA","DEN","2,606.4",224
"225","LGA","DFW","2,235.1",225
"226","LGA","DTW","807.1",226
"227","LGA","EWR","26.7",227
"228","LGA","IAH","2,279.4",228
"229","LGA","JFK","17.2",229
"230","LGA","LAS","3,608.4",230
"231","LGA","LAX","3,974.0",231
"232","LGA","LGA","0.0",232
"233","LGA","MCO","1,528.7",233
"234","LGA","MIA","1,764.8",234
"235","LGA","MSP","1,642.0",235
"236","LGA","ORD","1,180.0",236
"237","LGA","PHL","153.7",237
"238","LGA","PHX","3,457.7",238
"239","LGA","SEA","3,882.7",239
"240","LGA","SFO","4,151.1",240
"241","MCO","ATL","649.5",241
"242","MCO","BOS","1,804.1",242
"243","MCO","CLT","753.1",243
"244","MCO","DEN","2,488.8",244
"245","MCO","DFW","1,584.8",245
"246","MCO","DTW","1,540.3",246
"247","MCO","EWR","1,508.6",247
"248","MCO","IAH","1,374.5",248
"249","MCO","JFK","1,519.2",249
"250","MCO","LAS","3,281.9",250
"251","MCO","LAX","3,569.0",251
"252","MCO","LGA","1,528.7",252
"253","MCO","MCO","0.0",253
"254","MCO","MIA","309.1",254
"255","MCO","MSP","2,108.5",255
"256","MCO","ORD","1,617.4",256
"257","MCO","PHL","1,386.2",257
"258","MCO","PHX","2,975.1",258
"259","MCO","SEA","4,109.9",259
"260","MCO","SFO","3,936.2",260
"261","MIA","ATL","956.9",261
"262","MIA","BOS","2,025.0",262
"263","MIA","CLT","1,046.3",263
"264","MIA","DEN","2,750.3",264
"265","MIA","DFW","1,803.9",265
"266","MIA","DTW","1,842.8",266
"267","MIA","EWR","1,747.0",267
"268","MIA","IAH","1,551.6",268
"269","MIA","JFK","1,753.6",269
"270","MIA","LAS","3,499.3",270
"271","MIA","LAX","3,768.9",271
"272","MIA","LGA","1,764.8",272
"273","MIA","MCO","309.1",273
"274","MIA","MIA","0.0",274
"275","MIA","MSP","2,415.2",275
"276","MIA","ORD","1,926.5",276
"277","MIA","PHL","1,630.6",277
"278","MIA","PHX","3,173.2",278
"279","MIA","SEA","4,383.9",279
"280","MIA","SFO","4,160.2",280
"281","MSP","ATL","1,459.0",281
"282","MSP","BOS","1,809.0",282
"283","MSP","CLT","1,496.8",283
"284","MSP","DEN","1,094.2",284
"285","MSP","DFW","1,370.7",285
"286","MSP","DTW","850.2",286
"287","MSP","EWR","1,622.6",287
"288","MSP","IAH","1,663.9",288
"289","MSP","JFK","1,655.2",289
"290","MSP","LAS","2,091.3",290
"291","MSP","LAX","2,471.0",291
"292","MSP","LGA","1,642.0",292
"293","MSP","MCO","2,108.5",293
"294","MSP","MIA","2,415.2",294
"295","MSP","MSP","0.0",295
"296","MSP","ORD","537.8",296
"297","MSP","PHL","1,577.9",297
"298","MSP","PHX","2,053.5",298
"299","MSP","SEA","2,251.2",299
"300","MSP","SFO","2,557.0",300
"301","ORD","ATL","975.0",301
"302","ORD","BOS","1,394.7",302
"303","ORD","CLT","964.5",303
"304","ORD","DEN","1,429.5",304
"305","ORD","DFW","1,290.3",305
"306","ORD","DTW","377.4",306
"307","ORD","EWR","1,157.4",307
