DAY_DATE;DAY_INT;HOLIDAY_NAME;WEEKDAY;HOLIDAY_DATE_SRC;IS_HOL;IS_FRB_BANK_OBS_HOL;IS_NYSE_OBS_HOL;IS_US_FEDERAL_OBS_HOL
3/30/18;20180330;Good Friday;Friday;https://www.timeanddate.com/holidays/us/good-friday;1;0;1;0
5/28/18;20180528;Memorial Day;Monday;https://www.timeanddate.com/holidays/us/memorial-day;1;1;1;1
7/4/18;20180704;Independence Day;Wednesday;https://www.timeanddate.com/holidays/us/independence-day;1;1;1;1
9/3/18;20180903;Labor Day;Monday;https://www.timeanddate.com/holidays/us/labor-day;1;1;1;1
10/8/18;20181008;Columbus Day;Monday;https://www.timeanddate.com/holidays/us/columbus-day;1;1;0;1
11/11/18;20181111;Veterans Day;Sunday;https://www.timeanddate.com/holidays/us/veterans-day;1;0;0;0
11/12/18;20181112;Veterans Day (observed);Monday;https://www.timeanddate.com/holidays/us/veterans-day;1;1;0;1
11/22/18;20181122;Thanksgiving Day;Thursday;https://www.timeanddate.com/holidays/us/thanksgiving-day;1;1;1;1
12/25/18;20181225;Christmas Day;Tuesday;https://www.timeanddate.com/holidays/us/christmas-day;1;1;1;1
1/1/19;20190101;New Year's Day;Tuesday;https://www.timeanddate.com/holidays/us/new-year-day;1;1;1;1
1/21/19;20190121;Martin Luther King Day;Monday;https://www.timeanddate.com/holidays/us/martin-luther-king-day;1;1;1;1
2/18/19;20190218;Presidents' Day;Monday;https://www.timeanddate.com/holidays/us/washington-birthday;1;1;1;1
4/19/19;20190419;Good Friday;Friday;https://www.timeanddate.com/holidays/us/good-friday;1;0;1;0
5/27/19;20190527;Memorial Day;Monday;https://www.timeanddate.com/holidays/us/memorial-day;1;1;1;1
7/4/19;20190704;Independence Day;Thursday;https://www.timeanddate.com/holidays/us/independence-day;1;1;1;1
9/2/19;20190902;Labor Day;Monday;https://www.timeanddate.com/holidays/us/labor-day;1;1;1;1
10/14/19;20191014;Columbus Day;Monday;https://www.timeanddate.com/holidays/us/columbus-day;1;1;0;1
11/11/19;20191111;Veterans Day;Monday;https://www.timeanddate.com/holidays/us/veterans-day;1;1;0;1
11/28/19;20191128;Thanksgiving Day;Thursday;https://www.timeanddate.com/holidays/us/thanksgiving-day;1;1;1;1
12/25/19;20191225;Christmas Day;Wednesday;https://www.timeanddate.com/holidays/us/christmas-day;1;1;1;1
1/1/20;20200101;New Year's Day;Wednesday;https://www.timeanddate.com/holidays/us/new-year-day;1;1;1;1
1/20/20;20200120;Martin Luther King Day;Monday;https://www.timeanddate.com/holidays/us/martin-luther-king-day;1;1;1;1
2/17/20;20200217;Presidents' Day;Monday;https://www.timeanddate.com/holidays/us/washington-birthday;1;1;1;1
4/10/20;20200410;Good Friday;Friday;https://www.timeanddate.com/holidays/us/good-friday;1;0;1;0
5/25/20;20200525;Memorial Day;Monday;https://www.timeanddate.com/holidays/us/memorial-day;1;1;1;1
7/3/20;20200703;Independence Day (observed);Friday;https://www.timeanddate.com/holidays/us/independence-day;1;0;1;1
7/4/20;20200704;Independence Day;Saturday;https://www.timeanddate.com/holidays/us/independence-day;1;0;0;0
9/7/20;20200907;Labor Day;Monday;https://www.timeanddate.com/holidays/us/labor-day;1;1;1;1
10/12/20;20201012;Columbus Day;Monday;https://www.timeanddate.com/holidays/us/columbus-day;1;1;0;1
11/11/20;20201111;Veterans Day;Wednesday;https://www.timeanddate.com/holidays/us/veterans-day;1;1;0;1
11/26/20;20201126;Thanksgiving Day;Thursday;https://www.timeanddate.com/holidays/us/thanksgiving-day;1;1;1;1
12/25/20;20201225;Christmas Day;Friday;https://www.timeanddate.com/holidays/us/christmas-day;1;1;1;1
